POINTS
10.77	13.79	-0.09
12.95	8.22	-0.03
12.95	9.23	-0.03
12.95	10.22	-0.03
12.95	11.23	-0.03
12.95	12.23	-0.03
12.95	15.23	-0.03
12.93	16.23	-0.03
12.94	6.23	-0.03
12.93	3.23	-0.03
12.19	13.78	-0.06
12.79	13.78	-0.03
13.29	13.78	-0.03
13.79	13.78	0.00
11.17	13.78	-0.09
9.95	16.24	-0.12
9.95	15.23	-0.12
9.95	14.23	-0.12
9.95	13.68	-0.12
9.95	13.68	-0.12
9.95	13.68	-0.12
9.95	13.23	-0.12
9.95	12.23	-0.15
9.95	11.23	0.18
9.95	10.23	-0.12
9.94	9.23	-0.12
9.94	8.23	-0.15
9.93	6.24	-0.12
10.25	13.68	-0.12
11.74	12.98	-0.09
11.74	13.16	-0.07
11.74	13.33	-0.07
11.74	13.53	-0.07
11.74	13.53	-0.07
11.74	13.75	-0.06
11.74	13.98	-0.07
11.74	14.16	-0.07
11.74	14.40	-0.04
12.59	12.23	-0.06
12.59	14.61	-0.03
