POINTS
10.77	14.19	-0.09
12.25	8.20	-0.06
12.25	9.25	-0.03
12.25	10.25	-0.04
12.25	11.23	-0.03
12.25	12.21	-0.06
12.25	15.24	-0.03
12.23	16.22	-0.04
12.24	6.17	-0.07
12.23	3.21	-0.07
12.19	14.18	-0.06
12.79	14.18	-0.04
13.29	14.18	-0.04
13.79	14.17	-0.01
11.17	14.19	-0.09
8.94	16.24	-0.15
8.94	15.23	-0.17
8.95	14.23	-0.17
8.95	13.69	-0.18
8.95	13.69	-0.18
8.95	13.69	-0.18
8.95	13.24	-0.18
8.95	12.23	-0.18
8.94	11.23	-0.19
8.94	10.23	-0.19
8.94	9.24	-0.19
8.94	8.24	-0.19
8.92	6.23	-0.19
10.45	13.68	-0.09
11.94	12.98	-0.07
11.94	13.16	-0.06
11.94	13.33	-0.06
11.94	13.53	-0.06
11.94	13.53	-0.06
11.94	13.75	-0.07
11.94	13.98	-0.06
11.94	14.16	-0.07
11.94	14.40	-0.04
12.74	12.23	-0.04
12.74	14.61	-0.03
