POINTS
10.77	13.18	-0.09
13.94	8.21	0.00
13.95	9.22	0.00
13.94	10.22	0.00
13.94	11.22	0.00
13.94	12.22	0.00
13.95	15.23	0.00
13.94	16.23	0.00
13.94	6.22	0.00
13.93	3.21	0.00
12.19	13.18	-0.06
12.79	13.18	-0.03
13.29	13.18	-0.03
13.79	13.18	0.00
11.17	13.18	-0.09
11.18	16.23	-0.06
11.18	15.22	-0.06
11.19	14.24	-0.09
11.18	13.68	-0.09
11.18	13.68	-0.09
11.18	13.68	-0.09
11.18	13.23	-0.09
11.18	12.23	-0.06
11.18	11.23	-0.09
11.18	10.23	-0.06
11.17	9.23	-0.06
11.16	8.23	-0.06
11.16	6.22	-0.06
9.95	13.68	-0.12
11.44	12.98	-0.06
11.44	13.16	-0.06
11.44	13.33	-0.06
11.44	13.53	-0.06
11.44	13.53	-0.06
11.44	13.75	-0.06
11.44	13.98	-0.06
11.44	14.16	-0.06
11.44	14.40	-0.06
12.34	12.23	-0.06
12.34	14.61	-0.03
